,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Alfred,ZA,-33.5906,26.891,67.69,78,91,18.23,overcast clouds
80,Varangaon,IN,21.0167,75.9,76.06,34,96,8.72,overcast clouds
81,Saint-Pierre,RE,-21.3393,55.4781,82.04,68,90,10.36,overcast clouds
82,Sabha,LY,27.0377,14.4283,78.64,31,0,9.69,clear sky
83,Ugoofaaru,MV,5.6667,73.0,81.97,77,42,20.04,scattered clouds
84,Jizan,SA,17.3333,42.6667,94.33,33,0,14.58,clear sky
85,Gamba,GA,-2.65,10.0,80.31,75,100,6.91,light rain
86,Takoradi,GH,4.8845,-1.7554,84.78,69,67,7.02,light rain
87,Keti Bandar,PK,24.1447,67.4497,84.99,35,8,11.83,clear sky
88,Vaini,TO,-21.2,-175.2,76.73,81,100,9.04,moderate rain
89,Hobart,AU,-42.8794,147.3294,51.66,80,40,10.36,scattered clouds
90,Ponta Do Sol,PT,32.6667,-17.1,72.72,72,63,3.36,broken clouds
91,Ancud,CL,-41.8697,-73.8203,53.42,70,100,6.46,overcast clouds
92,Naze,JP,28.3667,129.4833,62.53,57,66,14.36,broken clouds
93,Chama,CH,47.1821,8.4636,67.05,86,20,2.3,mist
94,Tabuk,PH,17.4189,121.4443,74.73,93,97,3.53,overcast clouds
95,Thinadhoo,MV,0.5333,72.9333,82.78,80,61,23.51,broken clouds
96,Bluff,NZ,-46.6,168.3333,56.28,92,98,5.93,moderate rain
97,Cabedelo,BR,-6.9811,-34.8339,83.07,67,24,12.17,few clouds
98,Dudinka,RU,69.4058,86.1778,-9.92,100,100,3.6,overcast clouds
99,Luau,AO,-10.7073,22.2247,92.28,29,62,3.69,broken clouds
100,Tezu,IN,27.9167,96.1667,66.58,51,6,4.68,clear sky
101,Jamestown,US,42.097,-79.2353,49.71,60,1,8.01,clear sky
102,East London,ZA,-33.0153,27.9116,70.05,72,66,9.8,broken clouds
103,Bethel,US,41.3712,-73.414,42.84,82,1,0.0,clear sky
104,Alice Springs,AU,-23.7,133.8833,62.15,55,75,10.36,broken clouds
105,Clyde River,CA,70.4692,-68.5914,0.1,92,57,6.55,broken clouds
106,Les Cayes,HT,18.2,-73.75,77.95,79,72,3.02,broken clouds
107,Kandry,RU,54.5667,54.1167,27.54,43,17,10.42,few clouds
108,Pundaguitan,PH,6.3711,126.1689,83.32,75,100,14.27,heavy intensity rain
109,Sur,OM,22.5667,59.5289,81.05,43,1,8.72,clear sky
110,Marawi,PH,7.9986,124.2928,70.65,94,97,2.15,moderate rain
111,Paamiut,GL,61.994,-49.6678,10.72,61,15,5.99,few clouds
112,Dunda,TZ,-8.1167,34.25,95.72,15,24,1.63,few clouds
113,Zacapoaxtla,MX,19.8833,-97.5833,53.26,78,27,5.57,scattered clouds
114,Safaga,EG,26.7292,33.9365,81.01,45,96,12.82,overcast clouds
115,Constitucion,CL,-35.3333,-72.4167,56.66,72,100,5.21,overcast clouds
116,Narasannapeta,IN,18.4167,84.05,74.97,85,97,9.73,moderate rain
117,Katsuura,JP,35.1333,140.3,64.18,59,1,27.11,clear sky
118,Niquelandia,BR,-14.4739,-48.4597,75.92,80,100,2.73,light rain
119,Bathsheba,BB,13.2167,-59.5167,83.01,74,75,18.41,broken clouds
120,Saskylakh,RU,71.9167,114.0833,-26.57,100,42,4.27,scattered clouds
121,Acari,PE,-15.4311,-74.6158,68.18,67,91,3.71,overcast clouds
122,Cidreira,BR,-30.1811,-50.2056,68.25,60,21,13.09,few clouds
123,Poso,ID,-1.3959,120.7524,80.73,83,100,2.19,overcast clouds
124,Kelme,LT,55.6339,22.9342,42.82,93,100,9.31,overcast clouds
125,Arkhangelskoye,RU,55.8549,35.3287,32.38,91,100,10.45,overcast clouds
126,Mayumba,GA,-3.432,10.6554,81.28,77,92,5.48,light rain
127,Faya,SA,18.3851,42.4509,71.71,35,4,8.5,clear sky
128,Bilma,NE,18.6853,12.9164,94.06,9,0,8.5,clear sky
129,Waipawa,NZ,-41.4122,175.5153,59.63,83,45,8.48,scattered clouds
130,Hilo,US,19.7297,-155.09,71.26,72,20,8.05,few clouds
131,Victoria,HK,22.2855,114.1577,73.33,51,93,3.0,overcast clouds
132,Gorontalo,ID,0.5412,123.0595,77.32,94,88,2.68,overcast clouds
133,Santa Cruz,BO,-17.8,-63.1667,69.01,89,100,11.72,overcast clouds
134,Nigran,ES,42.1415,-8.8066,63.03,62,90,1.99,fog
135,Alta Floresta,BR,-9.8756,-56.0861,71.83,97,100,2.08,overcast clouds
136,Dikson,RU,73.5069,80.5464,-2.18,91,100,20.18,overcast clouds
137,Sven,RU,53.1822,34.5511,37.51,48,100,10.09,overcast clouds
138,Kapaa,US,22.0752,-159.319,71.58,75,75,6.91,broken clouds
139,Prince Rupert,CA,54.3161,-130.3201,44.29,72,90,9.22,light rain
140,Esperance,AU,-33.8667,121.9,58.28,71,54,14.52,broken clouds
141,Kiunga,PG,-6.1219,141.2906,76.28,98,100,1.99,overcast clouds
142,Osa,RU,57.2829,55.4567,25.56,65,71,15.95,snow
143,Beloha,MG,-25.1667,45.05,83.84,45,12,14.83,few clouds
144,Izumo,JP,35.3667,132.7667,49.95,80,89,8.32,light rain
145,Tuktoyaktuk,CA,69.4541,-133.0374,8.24,88,100,8.52,overcast clouds
146,Chimichagua,CO,9.2578,-73.8123,74.26,88,94,0.63,overcast clouds
147,Cherskiy,RU,68.75,161.3,-2.09,92,100,5.48,overcast clouds
148,Hithadhoo,MV,-0.6,73.0833,82.71,79,37,22.21,scattered clouds
149,Lorengau,PG,-2.0226,147.2712,82.78,74,97,9.64,overcast clouds
150,Lebu,CL,-37.6167,-73.65,55.06,82,100,2.91,overcast clouds
151,Taksimo,RU,56.3444,114.8794,12.65,95,100,0.83,overcast clouds
152,Sambava,MG,-14.2667,50.1667,81.09,69,77,8.61,broken clouds
153,Salalah,OM,17.0151,54.0924,87.89,40,0,14.97,clear sky
154,El Alto,PE,-4.2714,-81.2147,63.07,81,78,9.73,broken clouds
155,Vila Velha,BR,-20.3297,-40.2925,69.75,94,75,7.0,broken clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,27,0,4.61,clear sky
157,Kavaratti,IN,10.5669,72.642,82.13,73,92,11.97,overcast clouds
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,78,100,9.1,light rain
159,Knysna,ZA,-34.0363,23.0471,70.18,66,92,11.3,overcast clouds
160,Grafenau,DE,48.8577,13.3974,54.95,100,2,2.21,clear sky
161,Makakilo City,US,21.3469,-158.0858,73.69,76,20,0.0,few clouds
162,Nawa,IN,27.0167,75.0,80.08,17,65,5.61,broken clouds
163,Sitka,US,57.0531,-135.33,44.49,53,75,0.0,broken clouds
164,Silver City,US,32.7701,-108.2803,47.62,46,1,5.75,clear sky
165,Port Blair,IN,11.6667,92.75,82.11,81,11,9.37,few clouds
166,Cartagena,CO,10.3997,-75.5144,78.42,94,20,2.3,haze
167,Bonavista,CA,48.6499,-53.1147,42.12,88,100,21.39,light rain
168,Locri,IT,38.2414,16.2623,68.76,81,100,9.35,overcast clouds
169,Zakamensk,RU,50.3741,103.2863,23.0,76,12,3.85,few clouds
170,La Sarre,CA,48.8002,-79.1996,26.94,75,39,5.35,scattered clouds
171,Nishihara,JP,26.1842,127.7558,69.08,56,75,9.22,broken clouds
172,Marzuq,YE,14.4,46.4667,80.96,18,0,8.05,clear sky
173,Axim,GH,4.8699,-2.2405,85.08,68,71,5.86,light rain
174,Wilmington,US,34.2257,-77.9447,61.86,87,90,0.0,overcast clouds
175,Labuhan,ID,-6.8844,112.2051,78.69,83,100,16.24,moderate rain
176,Rajula,IN,21.05,71.4333,85.93,24,95,10.45,overcast clouds
177,Jonesboro,US,35.8423,-90.7043,57.07,100,75,5.99,broken clouds
178,Padang,ID,-0.9492,100.3543,78.69,87,100,3.96,overcast clouds
179,Monze,ZM,-16.2833,27.4833,74.41,62,81,5.5,moderate rain
180,Igarka,RU,67.4667,86.5833,-13.36,100,92,1.86,overcast clouds
181,Querecotillo,PE,-4.8378,-80.6456,65.14,77,70,5.97,broken clouds
182,Fortuna,US,40.5982,-124.1573,56.43,94,90,0.0,overcast clouds
183,Hami,CN,42.8,93.45,30.09,55,14,5.59,few clouds
184,Havre,FR,49.5833,0.3333,55.8,76,90,3.44,overcast clouds
185,Husavik,IS,66.0449,-17.3389,21.11,90,77,12.3,broken clouds
