City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Port Moresby,PG,80.01,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
223,Ponta Delgada,PT,75.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
225,Kouroussa,GN,86.86,overcast clouds,10.65,-9.8833,Hotel Paillote
229,Beyla,GN,83.16,light rain,8.6833,-8.6333,DIAN SINKO
231,Tefe,BR,78.91,broken clouds,-3.3542,-64.7114,Aracati Hotel
236,Eydhafushi,MV,82.15,scattered clouds,5.1033,73.0708,Soneva Fushi
237,Boyolangu,ID,75.88,moderate rain,-8.1181,111.8935,Yos ega cv
243,That Phanom,TH,77.2,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
244,Sao Jose Da Coroa Grande,BR,80.74,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
248,Doha,QA,86.31,clear sky,25.2867,51.5333,Movenpick Hotel Doha
249,Dingle,PH,78.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
252,Matara,LK,79.48,few clouds,5.9485,80.5353,Amaloh Boutique Resort
255,Luderitz,,78.13,few clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
257,Kieta,PG,79.43,light rain,-6.2167,155.6333,Uruna Bay Retreat
260,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
264,Curuguaty,PY,76.03,broken clouds,-24.4694,-55.6945,La Esquina del Tereré
272,Coxim,BR,77.72,overcast clouds,-18.5067,-54.76,Hotel Avenida
275,Dicabisagan,PH,78.94,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
280,Mbanza-Ngungu,CD,77.59,light rain,-5.25,14.8667,Hotel Full Business
288,Araouane,ML,82.2,broken clouds,18.9048,-3.5265,
290,Lotofaga,WS,76.78,light rain,-13.9764,-171.8578,Sataoa Beach Fales
302,Sungairaya,ID,76.89,overcast clouds,0.7,108.9,Mess P.Milu
304,Mana,GF,79.3,scattered clouds,5.6592,-53.7767,LE SAMANA
305,Bengkulu,ID,79.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
314,Nioaque,BR,78.94,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
316,Banda Aceh,ID,79.65,moderate rain,5.5577,95.3222,Sulthan Hotel International
318,Marsh Harbour,BS,77.61,broken clouds,26.5412,-77.0636,Abaco Beach Resort
325,Point Pedro,LK,80.35,overcast clouds,9.8167,80.2333,Gtr homes
330,Caconda,AO,81.07,light rain,-13.7333,15.0667,
332,Pasni,PK,81.0,few clouds,25.2631,63.471,Kashmiri Hotal
337,Mouila,GA,77.07,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
339,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
341,Santa Rosa,PH,84.18,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
343,Bosaso,SO,84.18,scattered clouds,11.2842,49.1816,Red Sea Hotel
345,Ambulu,ID,77.22,light rain,-8.345,113.6058,Hotel Ambulu Jember
347,Byron Bay,AU,77.11,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
354,Benguela,AO,80.62,broken clouds,-12.5763,13.4055,Hotel Praia Morena
356,Manaus,BR,81.09,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
357,Saint-Philippe,RE,81.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
358,Betare Oya,CM,86.79,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
359,Koumac,NC,76.89,broken clouds,-20.5667,164.2833,Le Monitel
363,Road Town,VG,81.0,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
371,Chabahar,IR,80.42,clear sky,25.2919,60.643,هتل گدروشیا
376,Chake Chake,TZ,89.08,few clouds,-5.2459,39.7666,Hotel Archipelago
377,Paracuru,BR,86.02,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
380,Key West,US,78.8,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
382,Maumere,ID,82.38,overcast clouds,-8.6199,122.2111,Sylvia Hotel
384,Ipojuca,BR,84.11,scattered clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
398,Faanui,PF,79.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
409,Zvishavane,ZW,89.17,overcast clouds,-20.3267,30.0665,Hotel Boutique Runde
411,Patawag,PH,80.91,heavy intensity rain,8.1064,122.6208,Banigan Beach
416,Machilipatnam,IN,80.8,overcast clouds,16.1667,81.1333,R&B Bungalow
418,Umm Lajj,SA,83.34,broken clouds,25.0213,37.2685,Moon light Furnished Units
424,Biak,ID,79.5,overcast clouds,-0.9131,122.8766,Penginapan Kim
429,Mitsamiouli,KM,88.09,light rain,-11.3847,43.2844,Foyer ADM
430,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
432,Kamina,CD,87.15,overcast clouds,-8.7386,24.9906,Guest House Florvia
437,Urucara,BR,78.73,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
445,Ambon,ID,82.33,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
446,Macapa,BR,85.98,few clouds,0.0389,-51.0664,Atalanta Hotel
448,Miramar,US,79.02,clear sky,25.9873,-80.2323,Miramar
450,Bandarbeyla,SO,82.29,scattered clouds,9.4942,50.8122,JABIR HOTEL
452,Waingapu,ID,82.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
457,Mahebourg,MU,81.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
464,Inirida,CO,76.89,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
466,Le Port,RE,82.36,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
467,Fare,PF,78.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
469,Heilbron,ZA,85.53,clear sky,-27.2812,27.9709,Guest house
471,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
472,Tual,ID,84.33,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
474,Pak Phanang,TH,77.02,light rain,8.3511,100.202,Green Park Inn Hotel
475,Aneho,TG,89.8,broken clouds,6.2333,1.6,Hotel La Linette
478,Sainte-Marie,RE,82.53,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
484,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
486,Bati,ET,76.77,broken clouds,11.1833,40.0167,Adi 01 Kebele
488,Kupang,ID,81.43,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
489,Atambua,ID,77.94,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
490,Manakara,MG,83.34,clear sky,-22.1333,48.0167,La Residence Manakara
491,Palmas De Monte Alto,BR,81.55,overcast clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
492,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
500,The Valley,AI,83.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
504,Adrar,MR,81.0,overcast clouds,20.5022,-10.0711,
507,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
510,Atar,MR,84.78,overcast clouds,20.5169,-13.0499,Oumou Elghoura
517,Tessalit,ML,81.72,scattered clouds,20.1986,1.0114,
519,Nabire,ID,76.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
